Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
10/28/23,UTA,PHX,Away Team Possession,PHX,Challenge,,Won,2,00:06.8,https://videos.nba.com/nba/official-replay/media/trigger17_utaphx_1_102823_approved_1280x720.mp4
10/28/23,UTA,PHX,Defensive Foul,PHX,Challenge,,Lost,3,5:01,https://videos.nba.com/nba/official-replay/media/trigger16_utaphx_1_102823_approved_1280x720.mp4
10/29/23,ATL,MIL,Defensive Foul,ATL,Challenge,,Won,1,00:36.4,https://videos.nba.com/nba/official-replay/media/trigger16_atlmil_1_102923_approved_1280x720.mp4
10/29/23,GSW,HOU,Defensive Foul,HOU,Challenge,,Lost,4,6:03,https://videos.nba.com/nba/official-replay/media/trigger16_gswhou_1_102923_approved_1280x720.mp4
10/29/23,GSW,HOU,Offensive Foul,GSW,Challenge,,Lost,4,2:07,https://videos.nba.com/nba/official-replay/media/trigger16_gswhou_2_102923_approved_1280x720.mp4
10/29/23,SAS,LAC,Defensive Foul,LAC,Challenge,,Lost,3,4:59,https://videos.nba.com/nba/official-replay/media/trigger16_saslac_1_102923_approved_1280x720.mp4
10/29/23,LAL,SAC,Defensive Foul,LAL,Challenge,,Won,3,6:21,https://videos.nba.com/nba/official-replay/media/trigger16_lalsac_1_102923_approved_1280x720.mp4
10/30/23,BOS,WAS,Home Team Possession,BOS,Challenge,,Won,2,7:27,https://videos.nba.com/nba/official-replay/media/trigger17_boswas_1_103023_approved_1280x720.mp4
10/30/23,DET,OKC,Defensive Foul,DET,Challenge,,Lost,2,10:48,https://videos.nba.com/nba/official-replay/media/trigger16_detokc_1_103023_approved_1280x720.mp4
10/30/23,DAL,MEM,Defensive Foul,DAL,Challenge,,Lost,2,5:46,https://videos.nba.com/nba/official-replay/media/trigger16_dalmem_1_103023_approved_1280x720.mp4
10/30/23,BKN,CHA,Defensive Foul,BKN,Challenge,,Won,4,10:56,https://videos.nba.com/nba/official-replay/media/trigger16_bkncha_1_103023_approved_1280x720.mp4
10/30/23,MIA,MIL,Away Team Possession,MIL,Challenge,,Won,2,4:10,https://videos.nba.com/nba/official-replay/media/trigger17_miamil_1_103023_approved_1280x720.mp4
10/30/23,BOS,WAS,Home Team Possession,BOS,Challenge,,Won,4,5:31,https://videos.nba.com/nba/official-replay/media/trigger17_boswas_2_103023_approved_1280x720.mp4
10/30/23,BKN,CHA,Defensive Foul,CHA,Challenge,,Lost,4,6:45,https://videos.nba.com/nba/official-replay/media/trigger16_bkncha_2_103023_approved_1280x720.mp4
10/30/23,CHI,IND,Defensive Foul,IND,Challenge,,Lost,4,00:32.2,https://videos.nba.com/nba/official-replay/media/trigger16_chiind_1_103023_approved_1280x720.mp4
10/30/23,CHI,IND,Defensive Foul,CHI,Challenge,,Won,4,00:12.4,https://videos.nba.com/nba/official-replay/media/trigger16_chiind_2_103023_approved_1280x720.mp4
10/30/23,DET,OKC,Defensive Foul,OKC,Challenge,,Won,3,5:33,https://videos.nba.com/nba/official-replay/media/trigger16_detokc_2_103023_approved_1280x720.mp4
10/30/23,DAL,MEM,Offensive Foul,MEM,Challenge,,Lost,4,11:24,https://videos.nba.com/nba/official-replay/media/trigger16_dalmem_2_103023_approved_1280x720.mp4
10/30/23,UTA,DEN,Defensive Foul,DEN,Challenge,,Won,2,5:34,https://videos.nba.com/nba/official-replay/media/trigger16_utaden_1_103023_approved_1280x720.mp4
10/30/23,GSW,NOP,Defensive Foul,GSW,Challenge,,Lost,4,7:48,https://videos.nba.com/nba/official-replay/media/trigger16_gswnop_1_103023_approved_1280x720.mp4
10/31/23,SAS,PHX,Away Team Possession,PHX,Challenge,,Lost,4,2:07,https://videos.nba.com/nba/official-replay/media/trigger17_sasphx_1_103123_approved_1280x720.mp4
11/1/23,MIL,TOR,Offensive Foul,MIL,Challenge,,Lost,1,00:33.0,https://videos.nba.com/nba/official-replay/media/trigger16_miltor_1_110123_approved_1280x720.mp4
11/1/23,IND,BOS,Away Team Possession,BOS,Challenge,,Lost,2,9:04,https://videos.nba.com/nba/official-replay/media/trigger17_indbos_1_110123_approved_1280x720.mp4
11/1/23,BKN,MIA,Defensive Foul,MIA,Challenge,,Won,2,8:54,https://videos.nba.com/nba/official-replay/media/trigger16_bknmia_1_110123_approved_1280x720.mp4
11/1/23,MIL,TOR,Defensive Foul,TOR,Challenge,,Lost,3,5:11,https://videos.nba.com/nba/official-replay/media/trigger16_miltor_2_110123_approved_1280x720.mp4
11/1/23,WAS,ATL,Defensive Foul,WAS,Challenge,,Lost,4,2:01,https://videos.nba.com/nba/official-replay/media/trigger16_wasatl_1_110123_approved_1280x720.mp4
11/1/23,DEN,MIN,Defensive Foul,DEN,Challenge,,Lost,4,2:47,https://videos.nba.com/nba/official-replay/media/trigger16_denmin_1_110123_approved_1280x720.mp4
11/1/23,SAC,GSW,Offensive Foul,GSW,Challenge,,Won,2,8:33,https://videos.nba.com/nba/official-replay/media/trigger16_sacgsw_1_110123_approved_1280x720.mp4
11/1/23,LAC,LAL,Defensive Foul,LAL,Challenge,,Lost,4,00:17.0,https://videos.nba.com/nba/official-replay/media/trigger16_laclal_1_110123_approved_1280x720.mp4
11/1/23,LAC,LAL,Defensive Foul,LAC,Challenge,,Lost,5,4:30,https://videos.nba.com/nba/official-replay/media/trigger16_laclal_2_110123_approved_1280x720.mp4
11/2/23,TOR,PHI,Away Team Possession,PHI,Challenge,,Lost,4,7:57,https://videos.nba.com/nba/official-replay/media/trigger17_torphi_1_110223_approved_1280x720.mp4
11/2/23,ORL,UTA,Defensive Foul,UTA,Challenge,,Won,1,4:41,https://videos.nba.com/nba/official-replay/media/trigger16_orluta_1_110223_approved_1280x720.mp4
11/2/23,SAS,PHX,Home Team Possession,SAS,Challenge,,Won,1,4:23,https://videos.nba.com/nba/official-replay/media/trigger17_sasphx_1_110223_approved_1280x720.mp4
11/2/23,ORL,UTA,Away Team Possession,UTA,Challenge,,Won,4,11:33,https://videos.nba.com/nba/official-replay/media/trigger17_orluta_1_110223_approved_1280x720.mp4
11/2/23,ORL,UTA,Defensive Foul,ORL,Challenge,,Won,4,2:26,https://videos.nba.com/nba/official-replay/media/trigger16_orluta_2_110223_approved_1280x720.mp4
11/2/23,SAS,PHX,Defensive Foul,PHX,Challenge,,Won,3,00:58.3,https://videos.nba.com/nba/official-replay/media/trigger16_sasphx_1_110223_approved_1280x720.mp4
11/3/23,NYK,MIL,Away Team Possession,MIL,Challenge,,Won,2,7:40,https://videos.nba.com/nba/official-replay/media/trigger17_nykmil_1_110323_approved_1280x720.mp4
11/3/23,NYK,MIL,Defensive Foul,NYK,Challenge,,Lost,2,00:35.5,https://videos.nba.com/nba/official-replay/media/trigger16_nykmil_1_110323_approved_1280x720.mp4
11/3/23,BKN,CHI,Home Team Possession,BKN,Challenge,,Lost,4,7:00,https://videos.nba.com/nba/official-replay/media/trigger17_bknchi_1_110323_approved_1280x720.mp4
11/3/23,NYK,MIL,Away Team Possession,MIL,Challenge,,Lost,4,1:59,https://videos.nba.com/nba/official-replay/media/trigger17_nykmil_2_110323_approved_1280x720.mp4
11/3/23,WAS,MIA,Home Team Possession,WAS,Challenge,,Won,4,4:06,https://videos.nba.com/nba/official-replay/media/trigger17_wasmia_1_110323_approved_1280x720.mp4
11/3/23,GSW,OKC,Defensive Foul,OKC,Challenge,,Won,4,2:10,https://videos.nba.com/nba/official-replay/media/trigger16_gswokc_1_110323_approved_1280x720.mp4
11/3/23,GSW,OKC,Defensive Foul,GSW,Challenge,,Lost,4,00:32.5,https://videos.nba.com/nba/official-replay/media/trigger16_gswokc_2_110323_approved_1280x720.mp4
11/3/23,MEM,POR,Defensive Foul,POR,Challenge,,Lost,1,00:15.9,https://videos.nba.com/nba/official-replay/media/trigger16_mempor_1_110323_approved_1280x720.mp4
11/3/23,DAL,DEN,Home Team Possession,DAL,Challenge,,Won,2,8:11,https://videos.nba.com/nba/official-replay/media/trigger17_dalden_1_110323_approved_1280x720.mp4
11/3/23,DAL,DEN,Defensive Foul,DEN,Challenge,,Lost,2,2:07,https://videos.nba.com/nba/official-replay/media/trigger16_dalden_1_110323_approved_1280x720.mp4
11/4/23,PHX,PHI,Away Team Possession,PHI,Challenge,,Won,4,10:44,https://videos.nba.com/nba/official-replay/media/trigger17_phxphi_1_110423_approved_1280x720.mp4
11/4/23,LAL,ORL,Defensive Foul,LAL,Challenge,,Won,2,9:24,https://videos.nba.com/nba/official-replay/media/trigger16_lalorl_1_110423_approved_1280x720.mp4
11/4/23,UTA,MIN,Away Team Possession,MIN,Challenge,,Won,1,3:58,https://videos.nba.com/nba/official-replay/media/trigger17_utamin_1_110423_approved_1280x720.mp4
11/4/23,CHA,IND,Offensive Foul,IND,Challenge,,Won,3,3:59,https://videos.nba.com/nba/official-replay/media/trigger16_chaind_1_110423_approved_1280x720.mp4
11/4/23,LAL,ORL,Offensive Foul,ORL,Challenge,,Lost,3,2:06,https://videos.nba.com/nba/official-replay/media/trigger16_lalorl_2_110423_approved_1280x720.mp4
11/4/23,ATL,NOP,Defensive Foul,NOP,Challenge,,Lost,4,7:01,https://videos.nba.com/nba/official-replay/media/trigger16_atlnop_1_110423_approved_1280x720.mp4
11/4/23,BOS,BKN,Home Team Possession,BOS,Challenge,,Won,2,4:15,https://videos.nba.com/nba/official-replay/media/trigger17_bosbkn_1_110423_approved_1280x720.mp4
11/4/23,BOS,BKN,Away Team Possession,BKN,Challenge,,Won,3,9:34,https://videos.nba.com/nba/official-replay/media/trigger17_bosbkn_2_110423_approved_1280x720.mp4
11/4/23,CHA,IND,Away Team Possession,IND,Challenge,,Won,4,00:37.8,https://videos.nba.com/nba/official-replay/media/trigger17_chaind_1_110423_approved_1280x720.mp4
11/4/23,CHA,IND,Defensive Foul,CHA,Challenge,,Lost,4,00:29.3,https://videos.nba.com/nba/official-replay/media/trigger16_chaind_2_110423_approved_1280x720.mp4
11/4/23,SAC,HOU,Defensive Foul,SAC,Challenge,,Lost,4,8:05,https://videos.nba.com/nba/official-replay/media/trigger16_sachou_1_110423_approved_1280x720.mp4
11/4/23,CHI,DEN,Defensive Foul,DEN,Challenge,,Won,4,3:35,https://videos.nba.com/nba/official-replay/media/trigger16_chiden_1_110423_approved_1280x720.mp4
11/5/23,PHX,DET,Home Team Possession,PHX,Challenge,,Won,3,10:29,https://videos.nba.com/nba/official-replay/media/trigger17_phxdet_1_110523_approved_1280x720.mp4
11/5/23,TOR,SAS,Defensive Foul,TOR,Challenge,,Won,2,2:42,https://videos.nba.com/nba/official-replay/media/trigger16_torsas_1_110523_approved_1280x720.mp4
11/5/23,TOR,SAS,Away Team Possession,SAS,Challenge,,Won,2,00:36.3,https://videos.nba.com/nba/official-replay/media/trigger17_torsas_1_110523_approved_1280x720.mp4
11/5/23,TOR,SAS,Loose Ball Foul,TOR,Challenge,,Lost,4,00:14.5,https://videos.nba.com/nba/official-replay/media/trigger16_torsas_2_110523_approved_1280x720.mp4
11/5/23,GSW,CLE,Defensive Foul,CLE,Challenge,,Won,3,1:16,https://videos.nba.com/nba/official-replay/media/trigger16_gswcle_1_110523_approved_1280x720.mp4
11/5/23,CHA,DAL,Goaltending,CHA,Challenge,,Lost,3,4:15,https://videos.nba.com/nba/official-replay/media/trigger18_chadal_1_110523_approved_1280x720.mp4
11/6/23,SAS,IND,Away Team Possession,IND,Challenge,,Lost,1,1:07,https://videos.nba.com/nba/official-replay/media/trigger17_sasind_1_110623_approved_1280x720.mp4
11/6/23,WAS,PHI,Defensive Foul,WAS,Challenge,,Lost,1,2:54,https://videos.nba.com/nba/official-replay/media/trigger16_wasphi_1_110623_approved_1280x720.mp4
11/6/23,MIL,BKN,Away Team Possession,BKN,Challenge,,Won,2,3:58,https://videos.nba.com/nba/official-replay/media/trigger17_milbkn_1_110623_approved_1280x720.mp4
11/6/23,DAL,ORL,Defensive Foul,DAL,Challenge,,Lost,3,10:07,https://videos.nba.com/nba/official-replay/media/trigger16_dalorl_1_110623_approved_1280x720.mp4
11/6/23,GSW,DET,Offensive Foul,DET,Challenge,,Won,3,3:20,https://videos.nba.com/nba/official-replay/media/trigger16_gswdet_1_110623_approved_1280x720.mp4
11/6/23,GSW,DET,Defensive Foul,DET,Challenge,,Lost,3,1:48,https://videos.nba.com/nba/official-replay/media/trigger16_gswdet_2_110623_approved_1280x720.mp4
11/6/23,DAL,ORL,Defensive Foul,ORL,Challenge,,Lost,4,8:22,https://videos.nba.com/nba/official-replay/media/trigger16_dalorl_2_110623_approved_1280x720.mp4
11/6/23,LAC,NYK,Defensive Foul,NYK,Challenge,,Won,3,1:49,https://videos.nba.com/nba/official-replay/media/trigger16_lacnyk_1_110623_approved_1280x720.mp4
11/6/23,MIL,BKN,Goaltending,MIL,Challenge,,Won,3,00:00.2,https://videos.nba.com/nba/official-replay/media/trigger18_milbkn_1_110623_approved_1280x720.mp4
11/6/23,LAC,NYK,Defensive Foul,NYK,Challenge,,Lost,4,10:17,https://videos.nba.com/nba/official-replay/media/trigger16_lacnyk_2_110623_approved_1280x720.mp4
11/6/23,LAL,MIA,Defensive Foul,MIA,Challenge,,Won,4,7:12,https://videos.nba.com/nba/official-replay/media/trigger16_lalmia_1_110623_approved_1280x720.mp4
11/6/23,BOS,MIN,Defensive Foul,BOS,Challenge,,Won,3,3:51,https://videos.nba.com/nba/official-replay/media/trigger16_bosmin_1_110623_approved_1280x720.mp4
11/6/23,ATL,OKC,Defensive Foul,OKC,Challenge,,Lost,4,10:58,https://videos.nba.com/nba/official-replay/media/trigger16_atlokc_1_110623_approved_1280x720.mp4
11/6/23,SAC,HOU,Defensive Foul,SAC,Challenge,,Lost,3,00:01.6,https://videos.nba.com/nba/official-replay/media/trigger16_sachou_1_110623_approved_1280x720.mp4
11/6/23,UTA,CHI,Defensive Foul,UTA,Challenge,,Lost,4,7:58,https://videos.nba.com/nba/official-replay/media/trigger16_utachi_1_110623_approved_1280x720.mp4
11/6/23,ATL,OKC,Home Team Possession,ATL,Challenge,,Lost,4,8:30,https://videos.nba.com/nba/official-replay/media/trigger17_atlokc_1_110623_approved_1280x720.mp4
11/6/23,SAC,HOU,Defensive Foul,HOU,Challenge,,Won,4,5:17,https://videos.nba.com/nba/official-replay/media/trigger16_sachou_2_110623_approved_1280x720.mp4
11/6/23,BOS,MIN,Defensive Foul,MIN,Challenge,,Lost,4,3:17,https://videos.nba.com/nba/official-replay/media/trigger16_bosmin_2_110623_approved_1280x720.mp4
11/8/23,LAC,BKN,Defensive Foul,LAC,Challenge,,Won,1,4:25,https://videos.nba.com/nba/official-replay/media/trigger16_lacbkn_1_110823_approved_1280x720.mp4
11/8/23,CLE,OKC,Away Team Possession,OKC,Challenge,,Won,1,7:08,https://videos.nba.com/nba/official-replay/media/trigger17_cleokc_1_110823_approved_1280x720.mp4
11/8/23,LAL,HOU,Defensive Foul,HOU,Challenge,,Won,2,11:00,https://videos.nba.com/nba/official-replay/media/trigger16_lalhou_1_110823_approved_1280x720.mp4
11/8/23,UTA,IND,Defensive Foul,UTA,Challenge,,Won,4,5:34,https://videos.nba.com/nba/official-replay/media/trigger16_utaind_1_110823_approved_1280x720.mp4
11/8/23,MIA,MEM,Defensive Foul,MIA,Challenge,,Won,2,00:57.6,https://videos.nba.com/nba/official-replay/media/trigger16_miamem_1_110823_approved_1280x720.mp4
11/8/23,LAC,BKN,Offensive Foul,BKN,Challenge,,Lost,4,6:15,https://videos.nba.com/nba/official-replay/media/trigger16_lacbkn_2_110823_approved_1280x720.mp4
11/8/23,PHX,CHI,Home Team Possession,PHX,Challenge,,Won,3,7:20,https://videos.nba.com/nba/official-replay/media/trigger17_phxchi_2_110823_approved_1280x720.mp4
11/8/23,PHX,CHI,Defensive Foul,CHI,Challenge,,Lost,4,3:13,https://videos.nba.com/nba/official-replay/media/trigger16_phxchi_1_110823_approved_1280x720.mp4
11/8/23,TOR,DAL,Defensive Foul,TOR,Challenge,,Won,4,4:01,https://videos.nba.com/nba/official-replay/media/trigger16_tordal_1_110823_approved_1280x720.mp4
11/8/23,TOR,DAL,Home Team Possession,TOR,Challenge,,Won,4,3:47,https://videos.nba.com/nba/official-replay/media/trigger17_tordal_1_110823_approved_1280x720.mp4
11/8/23,POR,SAC,Defensive Foul,SAC,Challenge,,Lost,4,5:01,https://videos.nba.com/nba/official-replay/media/trigger16_porsac_1_110823_approved_1280x720.mp4
11/10/23,PHI,DET,Defensive Foul,DET,Challenge,,Lost,2,4:56,https://videos.nba.com/nba/official-replay/media/trigger16_phidet_1_111023_approved_1280x720.mp4
11/10/23,MIN,SAS,Goaltending,SAS,Challenge,,Won,1,2:32,https://videos.nba.com/nba/official-replay/media/trigger18_minsas_1_111023_approved_1280x720.mp4
11/10/23,PHI,DET,Offensive Foul,PHI,Challenge,,Lost,3,7:27,https://videos.nba.com/nba/official-replay/media/trigger16_phidet_2_111023_approved_1280x720.mp4
11/10/23,UTA,MEM,Defensive Foul,UTA,Challenge,,Won,2,3:11,https://videos.nba.com/nba/official-replay/media/trigger16_utamem_1_111023_approved_1280x720.mp4
11/10/23,BKN,BOS,Away Team Possession,BOS,Challenge,,Lost,3,2:47,https://videos.nba.com/nba/official-replay/media/trigger17_bknbos_1_111023_approved_1280x720.mp4
11/10/23,UTA,MEM,Defensive Foul,MEM,Challenge,,Lost,3,8:39,https://videos.nba.com/nba/official-replay/media/trigger16_utamem_2_111023_approved_1280x720.mp4
11/10/23,MIN,SAS,Defensive Foul,SAS,Challenge,,Lost,3,7:08,https://videos.nba.com/nba/official-replay/media/trigger16_minsas_1_111023_approved_1280x720.mp4
11/10/23,NOP,HOU,Defensive Foul,NOP,Challenge,,Lost,4,8:04,https://videos.nba.com/nba/official-replay/media/trigger16_nophou_1_111023_approved_1280x720.mp4
11/10/23,UTA,MEM,Offensive Foul,UTA,Challenge,,Lost,4,7:31,https://videos.nba.com/nba/official-replay/media/trigger16_utamem_3_111023_approved_1280x720.mp4
11/10/23,NOP,HOU,Defensive Foul,HOU,Challenge,,Lost,4,4:16,https://videos.nba.com/nba/official-replay/media/trigger16_nophou_2_111023_approved_1280x720.mp4
11/10/23,MIN,SAS,Home Team Possession,MIN,Challenge,,Won,4,1:26,https://videos.nba.com/nba/official-replay/media/trigger17_minsas_1_111023_approved_1280x720.mp4
11/10/23,LAC,DAL,Offensive Foul,LAC,Challenge,,Won,4,10:06,https://videos.nba.com/nba/official-replay/media/trigger16_lacdal_1_111023_approved_1280x720.mp4
11/10/23,LAL,PHX,Defensive Foul,LAL,Challenge,,Lost,2,5:02,https://videos.nba.com/nba/official-replay/media/trigger16_lalphx_1_111023_approved_1280x720.mp4
11/10/23,OKC,SAC,Defensive Foul,SAC,Challenge,,Lost,3,3:20,https://videos.nba.com/nba/official-replay/media/trigger16_okcsac_1_111023_approved_1280x720.mp4
11/10/23,OKC,SAC,Loose Ball Foul,OKC,Challenge,,Won,3,1:11,https://videos.nba.com/nba/official-replay/media/trigger16_okcsac_2_111023_approved_1280x720.mp4
11/10/23,LAL,PHX,Defensive Foul,PHX,Challenge,,Won,4,00:15.6,https://videos.nba.com/nba/official-replay/media/trigger16_lalphx_2_111023_approved_1280x720.mp4
11/11/23,MIL,ORL,Defensive Foul,MIL,Challenge,,Lost,2,8:30,https://videos.nba.com/nba/official-replay/media/trigger16_milorl_1_111123_approved_1280x720.mp4
11/11/23,MIA,ATL,Offensive Foul,ATL,Challenge,,Lost,1,1:48,https://videos.nba.com/nba/official-replay/media/trigger16_miaatl_1_111123_approved_1280x720.mp4
11/11/23,TOR,BOS,Away Team Possession,BOS,Challenge,,Won,4,3:39,https://videos.nba.com/nba/official-replay/media/trigger17_torbos_1_111123_approved_1280x720.mp4
11/11/23,CLE,GSW,Offensive Foul,GSW,Challenge,,Won,4,8:19,https://videos.nba.com/nba/official-replay/media/trigger16_clegsw_1_111123_approved_1280x720.mp4
11/11/23,CLE,GSW,Defensive Foul,GSW,Challenge,,Lost,4,1:28,https://videos.nba.com/nba/official-replay/media/trigger16_clegsw_2_111123_approved_1280x720.mp4
11/12/23,MEM,LAC,Offensive Foul,MEM,Challenge,,Won,2,00:37.8,https://videos.nba.com/nba/official-replay/media/trigger16_memlac_1_111223_approved_1280x720.mp4
11/12/23,MEM,LAC,Defensive Foul,LAC,Challenge,,Won,3,1:20,https://videos.nba.com/nba/official-replay/media/trigger16_memlac_2_111223_approved_1280x720.mp4
11/12/23,MEM,LAC,Away Team Possession,LAC,Challenge,,Won,4,00:36.7,https://videos.nba.com/nba/official-replay/media/trigger17_memlac_1_111223_approved_1280x720.mp4
11/12/23,DAL,NOP,Defensive Foul,DAL,Challenge,,Won,3,2:01,https://videos.nba.com/nba/official-replay/media/trigger16_dalnop_1_111223_approved_1280x720.mp4
